Territorio,Población,Confirmados_PDIA,Confirmados_PDIA_14_días,Tasa_PDIA_14_días,Confirmados_PDIA_7_días,Total_confirmados,Curados,Fallecidos
Granada,914678,31135,10650,1164.344173578024,4101,31970,6810,536
Granada Sur,148829,2230,780,524.0914069166628,323,2254,570,26
Albondón,728,6,0,0.0,0,6,1,0
Albuñol,7233,127,20,276.51043826904464,6,127,32,0
Almegíjar,365,,20,276.51043826904464,6,127,32,0
Almuñécar,26514,346,120,452.59108395564607,58,349,87,1
Alpujarra de la Sierra,989,5,1,101.11223458038423,0,6,4,1
Bérchules,716,1,0,0.0,0,1,1,0
Bubión,296,1,0,0.0,0,1,0,0
Busquístar,289,22,16,5536.332179930796,10,22,3,1
Cádiar,1453,9,1,68.82312456985547,0,9,2,0
Cáñar,350,3,0,0.0,0,3,1,0
Capileira,554,14,9,1624.5487364620938,2,14,0,0
Carataunas,194,,9,1624.5487364620938,2,14,0,0
Cástaras,249,,9,1624.5487364620938,2,14,0,0
Guájares (Los),1057,12,9,851.4664143803217,3,13,1,0
Gualchos,5193,62,11,211.82360870402465,3,63,24,1
Ítrabo,988,8,4,404.8582995951417,2,8,2,0
Jete,919,1,1,108.8139281828074,1,1,0,0
Juviles,153,,1,108.8139281828074,1,1,0,0
Lanjarón,3507,68,25,712.85999429712,5,68,9,2
Lentegí,326,,25,712.85999429712,5,68,9,2
Lobras,145,,25,712.85999429712,5,68,9,2
Lújar,488,6,2,409.8360655737705,0,6,2,0
Molvízar,2794,19,11,393.7007874015748,5,20,3,0
Motril,58020,1089,382,658.3936573595312,151,1102,306,14
Murtas,467,13,6,1284.796573875803,0,14,1,2
Nevada,1050,1,0,0.0,0,1,1,0
Órgiva,5725,90,39,681.2227074235808,13,90,19,1
Otívar,1034,10,5,483.55899419729207,4,10,0,1
Pampaneira,321,,5,483.55899419729207,4,10,0,1
Polopos,1756,6,1,56.94760820045558,1,7,5,0
Pórtugos,382,8,3,785.3403141361257,0,8,3,0
Rubite,394,3,3,761.4213197969543,0,3,0,0
Salobreña,12381,110,24,193.8454082868912,20,111,27,2
Soportújar,268,2,0,0.0,0,2,0,0
Sorvilán,538,5,4,743.4944237918215,0,5,0,0
Taha (La),653,48,29,4441.04134762634,13,48,9,0
Torrenueva Costa,2682,24,10,372.85607755406414,3,24,5,0
Torvizcón,648,17,3,462.962962962963,3,17,10,0
Trevélez,732,23,11,1502.7322404371585,7,23,4,0
Turón,239,1,1,418.41004184100416,1,1,0,0
Ugíjar,2523,33,10,396.3535473642489,5,34,3,0
Válor,675,2,0,0.0,0,2,1,0
Vélez de Benaudalla,2841,35,19,668.7785990848292,7,35,4,0
Granada Nordeste,98043,2328,842,858.8068500555878,349,2450,713,39
Alamedilla,574,28,22,3832.752613240418,4,28,3,1
Albuñán,406,25,1,246.30541871921181,0,25,5,3
Aldeire,615,21,8,1300.8130081300812,0,21,1,0
Alicún de Ortega,480,2,1,208.33333333333334,0,2,1,0
Alquife,601,19,1,166.38935108153078,1,19,11,1
Baza,20412,380,149,729.962766999804,80,424,116,3
Beas de Guadix,329,5,2,607.90273556231,1,5,1,0
Benalúa,3318,93,27,813.74321880651,17,93,35,7
Benamaurel,2293,47,14,610.5538595726123,7,48,22,1
Calahorra (La),673,48,10,1485.8841010401188,1,48,6,0
Caniles,4047,97,20,494.1932295527551,6,100,27,2
Castilléjar,1318,27,10,758.7253414264036,2,28,3,0
Castril,2070,46,27,1304.3478260869565,8,49,5,1
Cogollos de Guadix,673,12,1,148.5884101040119,0,14,8,0
Cortes de Baza,1869,12,2,107.00909577314071,2,12,5,0
Cortes y Graena,996,12,6,602.4096385542168,2,12,2,1
Cuevas del Campo,1735,57,36,2074.92795389049,10,57,3,0
Cúllar,4129,33,10,242.18939210462582,5,35,11,0
Darro,1599,36,6,375.234521575985,5,36,15,0
Dehesas de Guadix,419,27,7,1670.6443914081146,0,27,0,0
Diezma,764,2,0,0.0,0,4,3,0
Dólar,622,7,1,160.77170418006432,1,7,3,0
Ferreira,299,2,1,334.44816053511704,0,2,1,0
Fonelas,978,21,4,408.9979550102249,1,21,6,1
Freila,918,39,33,3594.7712418300653,23,39,2,0
Galera,1075,17,4,372.09302325581393,0,18,7,1
Gor,733,10,10,1364.256480218281,3,11,1,0
Gorafe,381,2,1,262.4671916010499,1,2,0,1
Guadix,18422,565,223,1210.509173813918,83,610,207,8
Huélago,403,25,0,0.0,0,25,17,0
Huéneja,1184,8,3,253.3783783783784,2,8,5,0
Huéscar,7253,141,54,744.5195091686198,24,150,22,6
Jérez del Marquesado,968,34,14,1446.280991735537,5,34,17,0
Lanteira,588,16,11,1870.748299319728,0,17,3,0
Lugros,323,7,0,0.0,0,7,2,0
Marchal,417,1,0,0.0,0,1,0,0
Morelábor,607,33,6,988.4678747940692,3,33,3,0
Orce,1190,3,2,168.0672268907563,0,3,1,0
Pedro Martínez,1107,44,9,813.0081300813008,2,44,32,1
Peza (La),1178,9,6,509.3378607809847,2,9,3,0
Polícar,276,,6,509.3378607809847,2,9,3,0
Puebla de Don Fadrique,2250,134,48,2133.3333333333335,16,135,39,1
Purullena,2293,47,17,741.3868294810292,7,49,23,0
Valle del Zalabí,2128,55,16,751.8796992481203,11,57,32,0
Villanueva de las Torres,582,7,6,1030.9278350515465,6,7,0,0
Zújar,2548,72,13,510.2040816326531,8,74,4,0
Granada (distrito),239149,10617,3249,1358.5672530514448,1228,10991,2510,198
Beas de Granada,977,18,10,1023.5414534288639,2,18,1,1
Granada (capital),232462,10369,3155,1357.211071056775,1198,10738,2467,194
Huétor de Santillán,1877,52,18,958.9770911028237,8,54,9,0
Jun,3833,178,66,1721.888859900861,20,181,33,3
Metropolitano de Granada,428657,15441,5728,1336.2665254504184,2182,15755,2891,267
Agrón,274,10,1,364.963503649635,0,11,2,0
Albolote,18808,669,267,1419.6086771586558,117,688,91,6
Albuñuelas,821,17,6,730.816077953715,2,17,8,0
Alfacar,5400,257,80,1481.4814814814815,19,260,49,4
Algarinejo,2520,37,3,119.04761904761905,0,38,18,0
Alhama de Granada,5979,137,21,351.22930255895636,14,138,20,1
Alhendín,9349,311,113,1208.685420900631,45,314,44,3
Arenas del Rey,666,20,4,600.6006006006006,0,20,0,1
Armilla,24174,904,310,1282.36948787954,126,946,260,19
Atarfe,18706,653,251,1341.815460280124,89,663,106,5
Benalúa de las Villas,1066,48,28,2626.641651031895,8,49,6,1
Cacín,569,8,4,702.98769771529,0,8,1,0
Cájar,5129,219,90,1754.7280171573407,21,227,50,9
Calicasas,617,12,3,486.2236628849271,1,12,2,0
Campotéjar,1237,30,11,889.248181083266,3,31,1,2
Cenes de la Vega,8002,266,93,1162.2094476380905,46,272,58,8
Chauchina,5565,252,114,2048.5175202156333,29,254,42,0
Chimeneas,1257,38,11,875.0994431185362,2,38,4,1
Churriana de la Vega,15200,635,249,1638.157894736842,85,644,118,4
Cijuela,3322,84,39,1173.9915713425646,14,85,6,2
Cogollos de la Vega,2031,46,12,590.8419497784342,7,47,16,2
Colomera,1309,53,11,840.3361344537815,7,53,12,0
Cúllar Vega,7429,264,115,1547.9876160990711,43,266,53,2
Dehesas Viejas,705,14,12,1702.127659574468,3,14,1,0
Deifontes,2627,139,54,2055.5767034640276,21,141,8,0
Dílar,2054,49,21,1022.3953261927945,5,51,6,0
Domingo Pérez de Granada,890,34,3,337.07865168539325,1,34,8,1
Dúdar,330,3,3,909.0909090909091,0,3,0,0
Dúrcal,7015,231,138,1967.2131147540983,65,232,27,1
Escúzar,791,35,23,2907.7117572692796,6,36,2,0
Fornes,555,16,7,1261.2612612612613,4,16,2,0
Fuente Vaqueros,4406,208,91,2065.36541080345,24,210,29,3
Gabias (Las),21115,756,241,1141.3686952403505,91,768,140,5
Gobernador,233,4,4,1716.7381974248926,0,4,0,0
Gójar,5795,180,50,862.8127696289905,20,184,27,2
Guadahortuna,1935,26,5,258.3979328165375,2,26,3,0
Güéjar Sierra,2820,87,28,992.9078014184397,6,88,27,6
Güevéjar,2595,87,34,1310.2119460500962,17,87,19,1
Huétor Tájar,10352,367,136,1313.7557959814528,80,371,70,9
Huétor Vega,12039,451,149,1237.6443226181577,72,464,92,1
Íllora,10054,394,206,2048.9357469663814,78,396,36,4
Iznalloz,5134,327,193,3759.2520451889363,63,331,25,6
Játar,614,6,0,0.0,0,6,0,0
Jayena,1060,36,18,1698.1132075471698,10,36,6,0
